directory,model_type,prefab_enabled,scene,tactical_pattern,aggressiveness,defensiveness,versatility,coordination
qwen_20260213_160916_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,MMM场景,Aggressive,1.0,0.414586728340153,0.25807642836523875,0.9787002051679196
qwen_20260213_160916_ability_MMM2,VLM,True,MMM2场景,Aggressive,1.0,0.41743923709141095,0.23245785937696103,0.9641183823896718
qwen_20260213_160916_vlm_attention_1,VLM,False,VLM注意力机制,Aggressive,0.798910820833904,0.8090625,0.16442014869919763,0.891151358568632
qwen_20260213_172642_vlm_attention_1,VLM,False,VLM注意力机制,Aggressive,0.8260870483532445,0.8087500000000001,0.17991247996298793,0.8574651025146184
qwen_20260213_172646_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,MMM场景,Aggressive,1.0,0.41574074074074074,0.2568740977149807,0.9739821331280955
qwen_20260213_172649_ability_MMM2,VLM,True,MMM2场景,Aggressive,1.0,0.4187571365832235,0.22241181604104415,0.9533831101804885
qwen_20260213_201016_vlm_attention_1,VLM,False,VLM注意力机制,Aggressive,0.7870807544234275,0.762391304347826,0.16175050065678231,0.9584227806063869
qwen_20260213_201018_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,MMM场景,Aggressive,1.0,0.4053956466069142,0.26396990620295235,0.9829320464663986
qwen_20260213_201025_ability_MMM2,VLM,True,MMM2场景,Aggressive,1.0,0.4012617292617292,0.23192478888069115,0.9740010917574268
qwen_20260214_095929_vlm_attention_1,VLM,False,VLM注意力机制,Aggressive,0.8014959006086807,0.81578125,0.16593800526558689,0.8984283876108556
qwen_20260214_095942_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,MMM场景,Aggressive,1.0,0.42349131062174533,0.26175292871217726,0.9628965224467243
qwen_20260214_095946_ability_MMM2,VLM,True,MMM2场景,Aggressive,1.0,0.41759075666117923,0.23264766894171238,0.9835034386388806
