directory,model_type,prefab_enabled,scene,planning_efficiency,task_decomposition_quality,sequencing_quality,adaptability
qwen_20260213_160916_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,MMM场景,0.0625,0.5,0.8797834317673557,0.8666666666666667
qwen_20260213_160916_ability_MMM2,VLM,True,MMM2场景,0.0625,0.5185185185185185,0.919968635977408,0.9333333333333333
qwen_20260213_160916_vlm_attention_1,VLM,False,VLM注意力机制,0.07954545454545454,1.0,0.902610969277636,0.7
qwen_20260213_172642_vlm_attention_1,VLM,False,VLM注意力机制,0.07291666666666667,1.0,0.9127466977466977,0.6363636363636364
qwen_20260213_172646_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,MMM场景,0.0625,0.5,0.8803486738825086,0.8666666666666667
qwen_20260213_172649_ability_MMM2,VLM,True,MMM2场景,0.0625,0.5185185185185185,0.9013274701680499,0.9333333333333333
qwen_20260213_201016_vlm_attention_1,VLM,False,VLM注意力机制,0.07291666666666667,1.0,0.8938578088578091,0.6363636363636364
qwen_20260213_201018_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,MMM场景,0.0625,0.5,0.9073663846809626,0.8666666666666667
qwen_20260213_201025_ability_MMM2,VLM,True,MMM2场景,0.0625,0.5185185185185185,0.8953991258339083,0.9333333333333333
qwen_20260214_095929_vlm_attention_1,VLM,False,VLM注意力机制,0.07954545454545454,1.0,0.902610969277636,0.7
qwen_20260214_095942_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,MMM场景,0.0625,0.5,0.9062496762496762,0.8666666666666667
qwen_20260214_095946_ability_MMM2,VLM,True,MMM2场景,0.0625,0.5185185185185185,0.919248523886205,0.9333333333333333
